,sex,age,household_position,household_size,prev_residence_place,citizenship,country_birth,edu_level,economic_status,cur_eco_activity,Marital_status,occupation
9380,Female,6,1122,114,1,1,1,5,111,138,2,high_level
57958,Male,7,1122,113,1,2,2,5,111,139,2,low_level
39142,Female,7,1132,114,1,1,1,3,111,134,1,high_level
23384,Female,4,1110,125,1,1,1,2,112,135,1,high_level
12854,Female,9,1122,126,1,1,1,3,111,138,2,low_level
37486,Female,5,1110,114,1,1,1,3,111,131,1,low_level
1299,Male,8,1122,114,1,1,1,1,111,122,2,high_level
46699,Female,10,1122,113,1,1,1,3,120,131,2,low_level
31395,Female,6,1121,112,1,1,1,3,111,135,2,high_level
35680,Female,5,1210,111,1,1,1,3,112,131,1,high_level
41317,Male,11,1122,114,1,1,1,5,111,135,2,low_level
48200,Male,8,1122,113,1,1,1,1,111,133,2,high_level
54198,Male,12,1121,112,1,1,1,5,111,138,2,low_level
44715,Male,10,1122,125,1,1,1,3,111,137,2,low_level
25836,Male,7,1210,111,1,1,1,3,111,131,1,high_level
43766,Male,10,1121,112,1,1,1,3,111,131,2,high_level
33198,Male,4,1110,125,1,1,3,2,112,131,1,high_level
1738,Male,14,1121,112,1,1,1,3,120,131,2,low_level
723,Female,9,1140,113,1,1,1,2,111,134,4,high_level
754,Male,10,1122,114,1,1,1,3,111,135,2,high_level
20056,Male,9,1122,114,1,1,1,1,111,124,2,low_level
8691,Male,13,1121,112,1,1,1,2,120,111,2,low_level
42118,Male,7,1131,112,1,1,1,4,111,135,1,high_level
31998,Female,7,1131,112,1,1,1,5,111,136,1,low_level
3005,Male,6,1122,113,1,1,1,5,111,135,2,low_level
50906,Female,11,1122,113,1,1,1,1,111,135,2,high_level
49987,Male,10,1122,114,1,1,1,2,111,111,2,low_level
19827,Female,8,1122,125,1,1,1,3,111,136,2,high_level
39280,Female,8,1131,112,1,1,1,2,111,131,1,high_level
16496,Male,11,1122,114,1,1,1,5,111,137,2,low_level
38094,Male,8,1122,114,1,1,1,5,111,133,2,low_level
17019,Female,8,1131,112,1,1,1,3,111,134,3,high_level
7276,Female,11,1122,113,1,1,1,2,111,132,2,high_level
54091,Female,9,1122,126,1,1,1,5,111,138,2,low_level
24117,Male,11,1122,114,1,1,1,2,111,124,2,low_level
56705,Male,5,1110,125,1,1,1,3,112,136,1,high_level
33193,Male,7,1122,125,1,1,1,3,111,135,2,high_level
55612,Female,8,1122,114,1,2,2,3,111,132,2,high_level
3585,Male,7,1132,113,1,1,1,5,111,135,1,low_level
6747,Female,9,1122,125,1,1,1,5,111,136,2,low_level
57471,Male,6,1121,112,1,1,1,5,111,122,2,low_level
36209,Male,11,1122,114,1,1,1,2,111,139,2,high_level
37549,Female,12,1121,112,1,1,1,2,111,131,2,high_level
20306,Male,10,1121,112,1,1,1,5,111,136,2,low_level
51396,Male,5,1110,114,1,1,1,3,112,135,1,high_level
42805,Male,10,1122,113,1,1,1,2,111,131,2,high_level
46008,Female,10,1122,125,1,1,1,5,111,137,2,low_level
55231,Male,6,1110,114,1,1,1,3,112,131,1,high_level
35030,Female,6,1132,113,1,1,1,5,111,131,1,low_level
14274,Male,8,1122,114,1,1,1,5,120,137,2,low_level
55910,Female,12,1122,113,1,1,1,5,111,138,2,low_level
19427,Female,8,1210,111,1,1,1,3,111,138,1,high_level
47151,Male,10,1122,113,1,1,1,3,111,122,2,low_level
56504,Female,8,1122,113,1,1,1,4,111,133,2,high_level
3628,Female,7,1131,112,1,1,1,5,111,135,1,low_level
36956,Male,10,1131,112,1,1,1,3,111,136,4,high_level
15752,Female,10,1122,114,1,1,1,2,111,131,2,high_level
28882,Male,10,1122,114,1,1,1,5,111,135,2,low_level
823,Female,6,1122,113,1,1,1,5,111,135,2,low_level
23674,Female,12,1210,111,1,1,1,3,111,139,4,high_level
59725,Female,10,1122,125,1,1,1,3,111,138,2,low_level
26847,Female,6,1210,111,1,1,1,5,111,138,1,low_level
56003,Male,4,1110,114,1,1,1,3,111,135,1,high_level
54263,Female,4,1131,112,1,1,1,3,112,111,1,high_level
54148,Male,7,1131,112,1,1,1,3,111,131,1,high_level
39592,Male,10,1122,125,1,1,1,3,111,131,2,low_level
40444,Male,11,1122,114,1,1,1,5,111,137,2,low_level
25443,Female,12,1122,113,1,1,1,1,111,136,2,low_level
20300,Female,9,1122,125,1,1,1,5,111,137,2,low_level
20507,Female,6,1131,112,1,1,2,3,111,138,1,high_level
4830,Male,9,1122,113,1,1,1,3,111,122,2,high_level
30209,Male,4,1110,113,1,1,1,2,112,131,1,high_level
33694,Female,6,1210,111,1,1,1,3,111,136,1,high_level
11872,Female,5,1131,112,1,1,1,5,111,135,1,high_level
595,Female,6,1110,114,1,1,1,1,111,131,1,high_level
2061,Male,12,1110,112,1,1,1,3,120,111,1,low_level
56628,Male,9,1121,112,1,1,1,3,111,132,2,high_level
5406,Male,7,1122,114,1,1,1,5,111,135,2,low_level
35969,Female,6,1110,114,1,1,1,4,111,131,1,low_level
30048,Female,8,1122,114,1,1,1,5,111,137,2,low_level
50198,Female,4,1220,126,1,2,2,3,111,135,1,high_level
51620,Female,7,1122,114,1,1,1,3,111,138,2,high_level
11500,Male,8,1122,114,1,1,1,5,111,135,2,low_level
15936,Male,7,1131,112,1,1,1,2,111,131,4,low_level
26548,Male,13,1121,112,1,1,1,4,111,136,2,low_level
49249,Male,5,1110,113,1,1,1,2,111,131,1,high_level
10109,Female,7,1122,114,1,1,1,5,111,133,2,high_level
48404,Female,5,1110,114,1,1,1,3,111,124,1,high_level
36359,Male,8,1131,112,1,1,1,3,111,122,1,low_level
54121,Male,9,1122,113,1,1,1,2,111,137,2,high_level
29030,Female,11,1122,113,1,1,1,3,111,135,2,high_level
4895,Male,8,1122,114,1,1,1,3,111,137,2,low_level
8514,Male,9,1122,114,1,1,1,2,111,132,2,high_level
9479,Female,8,1122,113,1,1,1,2,111,131,2,high_level
25320,Female,10,1122,114,1,1,1,2,111,134,2,high_level
3375,Male,5,1210,111,1,1,1,3,112,132,1,high_level
40231,Female,10,1122,114,1,1,1,2,111,139,2,high_level
57794,Female,9,1131,112,1,1,1,4,111,135,4,high_level
24835,Male,9,1122,125,1,1,1,5,111,137,2,low_level
33087,Male,4,1110,114,1,1,1,2,112,131,1,high_level
60090,Male,7,1121,112,1,1,1,5,111,138,2,low_level
59135,Female,7,1122,113,1,1,1,5,111,138,2,low_level
11410,Female,11,1140,112,1,1,1,3,111,135,4,high_level
19085,Male,4,1110,125,1,1,1,2,112,135,1,high_level
44663,Male,9,1122,114,1,1,1,3,111,133,2,high_level
48459,Female,9,1210,111,1,1,1,2,111,122,1,high_level
15414,Male,12,1210,111,1,1,1,2,111,122,1,high_level
855,Female,13,1122,113,1,1,1,1,111,139,2,high_level
36342,Male,10,1121,112,1,1,1,4,111,135,2,low_level
42578,Female,11,1121,112,1,1,1,2,120,131,2,low_level
33831,Female,11,1122,113,1,1,1,1,111,138,2,high_level
46783,Male,4,1110,113,1,1,1,2,112,131,1,high_level
16916,Female,6,1131,112,1,1,1,3,120,131,1,low_level
32348,Male,8,1131,112,1,1,1,3,111,136,1,high_level
33143,Female,11,1122,114,1,1,1,3,111,138,2,high_level
3972,Male,11,1131,112,1,1,1,1,111,122,4,high_level
20787,Male,6,1210,111,1,1,1,5,111,138,1,low_level
10231,Male,7,1121,112,1,3,3,1,111,135,2,high_level
30997,Male,9,1122,114,1,1,1,4,111,122,2,low_level
3486,Male,8,1210,111,1,1,1,5,111,137,1,low_level
24094,Female,10,1122,114,1,1,1,5,111,137,2,low_level
32231,Male,7,1122,114,1,1,1,3,111,122,2,high_level
51278,Male,10,1122,125,1,1,1,3,111,138,2,low_level
25709,Male,11,1121,112,1,1,1,2,111,122,2,low_level
10220,Female,7,1122,114,1,1,1,3,111,133,2,high_level
52431,Male,9,1122,113,1,1,1,5,111,131,2,low_level
48451,Male,8,1132,113,1,1,1,3,111,131,1,high_level
3162,Male,11,1122,113,1,1,1,3,120,131,2,low_level
34881,Female,9,1122,114,1,1,1,5,111,137,2,low_level
8660,Male,5,1110,113,1,1,1,3,112,111,1,high_level
39136,Male,11,1122,114,1,1,1,5,111,122,2,low_level
49896,Female,7,1122,114,1,1,1,3,111,131,2,high_level
38731,Female,13,1121,112,1,1,1,3,111,137,2,high_level
57237,Male,10,1122,125,1,1,1,2,111,122,2,high_level
54369,Male,8,1122,114,1,1,1,3,120,131,2,low_level
10515,Male,9,1122,114,1,1,1,3,111,135,2,low_level
10650,Male,11,1122,113,1,1,1,5,111,136,2,low_level
3670,Male,9,1210,111,1,1,1,5,111,137,1,low_level
31366,Female,12,1122,113,1,1,1,2,111,131,2,low_level
58912,Female,8,1122,114,1,1,1,3,111,134,2,high_level
54102,Female,8,1122,113,1,1,1,5,111,137,2,low_level
34340,Female,10,1140,112,1,1,1,2,111,134,4,low_level
6780,Male,12,1121,112,1,1,1,5,111,138,2,low_level
7269,Female,4,1110,114,1,1,1,2,111,131,1,high_level
58569,Female,6,1131,112,1,1,1,5,111,136,1,low_level
30493,Female,6,1210,111,2,1,1,3,111,138,1,high_level
17698,Male,9,1122,114,1,1,1,5,111,135,2,low_level
34842,Male,7,1132,113,1,1,1,2,111,135,4,high_level
12790,Male,6,1131,112,1,1,1,3,111,131,1,high_level
46442,Male,6,1122,113,1,1,1,3,111,137,2,low_level
19803,Male,5,1131,112,1,1,1,5,111,133,1,low_level
32642,Female,11,1210,111,1,1,1,5,111,137,1,low_level
47866,Female,5,1132,113,1,1,1,1,111,135,1,high_level
19878,Male,8,1122,125,1,1,1,5,111,131,2,low_level
11576,Male,8,1122,114,1,1,1,3,120,132,2,low_level
7626,Male,11,1131,112,1,1,1,3,111,135,4,low_level
19982,Female,6,1131,112,1,1,1,5,111,135,1,low_level
31422,Male,11,1121,112,2,1,1,1,111,122,2,low_level
53909,Male,9,1131,112,1,1,1,3,111,122,1,high_level
13406,Female,9,1122,114,1,1,1,2,111,138,2,high_level
34551,Male,8,1210,111,1,1,1,5,111,135,1,low_level
6312,Male,9,1122,114,1,1,1,5,111,137,2,low_level
48656,Male,11,1121,112,1,1,1,3,111,131,2,high_level
1989,Female,7,1121,112,1,1,1,2,111,131,2,low_level
38930,Female,8,1122,114,1,1,1,3,111,138,2,high_level
54887,Female,10,1122,114,1,1,1,2,111,135,2,high_level
33487,Female,10,1121,112,1,1,1,2,111,131,2,high_level
56818,Male,4,1110,114,1,1,1,2,112,133,1,high_level
59058,Male,9,1132,114,1,1,1,5,111,135,1,low_level
38291,Female,6,1121,112,1,1,1,3,111,135,2,high_level
56843,Female,10,1122,114,1,1,1,5,111,134,2,high_level
35679,Male,9,1122,114,1,1,1,3,111,135,2,high_level
49999,Female,6,1140,112,1,1,1,3,111,133,1,high_level
2918,Male,9,1122,126,1,1,1,5,111,137,2,low_level
21482,Male,8,1122,114,1,1,1,2,111,131,2,low_level
35794,Female,6,1121,112,1,1,1,3,111,138,2,high_level
21320,Female,6,1121,112,1,1,1,5,111,138,2,low_level
29939,Male,8,1131,112,1,1,1,1,111,131,1,high_level
14356,Male,6,1122,113,1,1,1,3,120,111,2,low_level
4260,Female,11,1122,113,1,1,1,5,120,131,2,low_level
7197,Female,8,1132,113,1,1,1,5,120,135,1,low_level
4985,Female,5,1110,114,1,1,1,3,111,139,1,high_level
26998,Female,9,1121,112,1,1,1,2,111,131,2,high_level
28905,Female,9,1140,112,1,1,2,1,111,135,4,high_level
48547,Female,7,1122,113,1,1,1,3,111,131,2,high_level
38959,Female,6,1131,112,1,1,1,4,112,135,1,low_level
33073,Female,8,1140,112,1,1,1,5,111,139,1,low_level
29664,Male,8,1122,113,1,1,1,3,111,134,2,high_level
36492,Female,4,1210,111,2,1,1,2,111,131,1,high_level
50590,Male,5,1110,125,1,1,1,3,112,135,1,high_level
2340,Male,12,1122,125,1,1,1,3,120,111,2,low_level
8419,Female,8,1122,125,1,1,1,2,111,131,2,high_level
303,Male,11,1121,112,1,1,1,1,111,122,2,high_level
26317,Female,10,1121,112,1,1,1,3,111,138,2,high_level
24215,Male,9,1121,112,1,1,1,3,111,136,2,high_level
15096,Male,10,1122,114,1,1,1,5,111,137,2,low_level
59416,Female,10,1140,113,1,1,1,3,111,139,4,high_level
57666,Female,4,1110,114,1,1,1,2,111,131,1,high_level
52797,Male,7,1122,114,1,1,3,2,120,132,2,low_level
6020,Female,8,1131,112,1,1,1,3,111,122,1,low_level
10771,Female,9,1122,113,1,1,1,2,120,122,2,high_level
35121,Female,6,1121,112,1,1,1,5,111,138,2,low_level
38521,Male,9,1110,112,1,1,3,5,111,122,1,low_level
56309,Female,7,1122,114,1,1,1,2,111,135,2,high_level
40459,Male,7,1110,113,1,1,1,1,111,132,1,low_level
37423,Female,6,1210,111,1,1,1,5,111,122,1,low_level
3853,Female,13,1210,111,1,1,1,3,120,131,4,low_level
7255,Male,9,1131,112,1,1,1,2,111,138,4,high_level
3321,Female,7,1122,125,1,1,1,5,111,135,2,high_level
24200,Male,11,1122,113,1,1,1,3,111,131,2,low_level
2904,Female,9,1122,114,1,1,1,2,111,135,2,high_level
5176,Male,10,1122,114,1,1,1,5,120,133,2,low_level
22049,Female,6,1131,112,1,1,1,5,111,122,1,low_level
58950,Male,8,1122,125,1,1,1,3,111,122,2,low_level
7167,Female,10,1122,125,1,1,1,5,111,137,2,low_level
6188,Female,10,1122,114,1,2,3,2,111,138,2,high_level
45663,Female,4,1110,114,1,1,1,3,111,131,1,high_level
38948,Male,11,1210,111,1,1,1,5,111,137,1,low_level
54668,Male,7,1122,114,1,1,1,3,111,131,2,low_level
1794,Female,7,1131,112,1,1,1,4,111,136,1,high_level
13474,Male,12,1121,112,1,1,1,5,111,136,2,low_level
1916,Female,4,1110,112,1,1,1,2,112,131,1,high_level
25897,Female,7,1122,125,1,3,3,3,111,135,2,high_level
6626,Male,9,1131,112,2,1,1,2,120,124,4,low_level
39306,Female,9,1122,114,1,1,3,5,120,135,2,low_level
47981,Female,7,1121,112,1,1,1,5,111,134,2,high_level
5445,Female,7,1122,114,1,1,1,3,111,131,2,high_level
28704,Male,10,1122,114,1,1,1,0,111,133,2,low_level
40604,Female,13,1122,113,1,1,1,2,111,132,2,high_level
13100,Female,6,1210,111,2,2,3,5,111,138,1,low_level
35976,Male,10,1220,112,1,1,1,1,111,122,1,high_level
29225,Female,8,1122,125,1,1,3,2,111,138,2,high_level
16263,Female,6,1122,113,1,1,1,5,111,138,2,high_level
46262,Male,7,1131,112,1,1,1,5,111,122,1,low_level
23129,Female,10,1122,113,1,1,1,1,111,135,2,high_level
48373,Male,7,1131,112,1,1,1,3,111,134,1,low_level
55026,Female,9,1122,114,1,1,1,2,111,135,2,high_level
55389,Female,8,1122,114,1,1,1,2,111,131,2,high_level
3668,Female,6,1210,111,1,1,1,3,112,138,1,high_level
35947,Female,9,1140,113,1,2,3,2,111,122,4,low_level
15072,Female,10,1121,112,1,1,1,5,111,138,2,low_level
22394,Male,9,1122,113,1,1,1,3,111,133,2,high_level
2195,Female,6,1131,112,1,1,1,3,111,131,1,high_level
7989,Female,11,1122,113,1,1,3,4,111,138,2,high_level
39324,Male,11,1122,113,1,1,1,5,111,137,2,low_level
8593,Male,8,1122,125,1,1,1,3,120,131,2,low_level
46430,Female,8,1210,111,1,1,1,4,111,138,2,high_level
33735,Male,6,1131,112,1,1,1,2,111,131,1,high_level
56343,Male,10,1132,113,1,1,3,5,111,135,4,low_level
34920,Male,11,1122,125,1,1,1,5,120,131,2,low_level
8129,Male,12,1121,112,1,1,1,1,111,133,2,low_level
24118,Female,6,1122,113,1,1,1,5,111,137,2,low_level
38827,Male,7,1131,112,2,1,1,5,111,122,1,low_level
42059,Male,8,1131,112,1,1,1,5,111,138,1,low_level
25900,Male,12,1121,112,1,1,1,5,111,133,2,high_level
8937,Female,10,1122,114,1,1,1,5,111,137,2,low_level
45888,Male,6,1122,114,1,1,1,3,111,131,2,high_level
20186,Female,11,1122,113,1,1,1,5,111,137,2,low_level
5386,Male,7,1210,111,1,1,1,5,111,131,1,low_level
25029,Male,11,1122,113,1,1,1,5,111,137,2,low_level
41862,Male,6,1121,112,1,1,1,3,111,131,2,low_level
864,Female,6,1131,112,1,1,1,2,111,122,1,high_level
36309,Female,11,1122,113,1,1,1,2,120,111,2,low_level
50673,Male,10,1122,113,1,1,1,2,120,132,2,low_level
9925,Male,12,1122,113,1,1,1,3,111,136,2,low_level
24711,Female,6,1210,111,1,1,1,5,112,138,1,low_level
20359,Male,11,1121,112,1,1,1,5,111,122,2,low_level
34281,Male,10,1122,114,1,1,1,5,111,138,2,low_level
54783,Female,6,1122,113,1,3,3,2,111,135,2,high_level
54716,Female,6,1110,113,1,1,1,2,111,135,1,high_level
48473,Male,7,1131,112,1,1,1,5,111,122,1,high_level
7267,Female,10,1122,113,1,1,1,5,111,137,2,low_level
14032,Male,8,1122,113,1,1,3,1,111,137,2,high_level
18722,Female,10,1122,125,1,1,1,4,120,135,2,low_level
27704,Female,7,1132,113,1,1,1,5,111,133,1,high_level
48604,Female,7,1122,114,1,1,1,2,111,135,2,high_level
38327,Male,4,1110,113,1,1,1,3,112,135,1,high_level
44218,Female,11,1122,114,1,1,1,5,120,135,2,low_level
37734,Female,6,1131,112,1,1,1,5,111,137,1,low_level
21663,Female,11,1122,114,1,1,1,1,111,138,2,high_level
56406,Male,9,1122,125,1,1,1,2,111,135,2,high_level
45758,Male,7,1131,112,1,1,1,5,111,122,4,low_level
6751,Female,9,1122,125,1,1,1,3,111,137,2,low_level
24290,Female,8,1122,113,1,1,1,3,111,138,2,high_level
17587,Female,10,1122,113,1,1,1,3,111,135,2,high_level
30107,Female,10,1122,114,1,1,1,3,111,137,2,high_level
21979,Male,9,1121,112,1,1,1,5,111,135,2,low_level
24285,Female,7,1140,113,1,1,1,1,111,138,4,high_level
49575,Female,9,1140,113,1,1,1,1,111,131,4,high_level
19132,Male,8,1122,114,1,1,2,3,111,137,2,low_level
10654,Female,8,1122,114,2,1,1,3,111,131,2,high_level
24842,Female,4,1110,114,1,1,1,1,112,135,1,high_level
43645,Male,11,1121,112,1,1,1,5,111,137,2,low_level
49628,Female,10,1122,114,1,1,1,5,111,133,2,high_level
22545,Male,10,1122,113,1,1,1,3,111,132,2,high_level
56847,Male,11,1122,113,1,1,1,1,111,124,2,low_level
9386,Female,6,1210,111,1,1,3,3,111,135,1,high_level
5012,Female,5,1131,112,1,1,1,5,111,138,1,low_level
35380,Male,10,1122,126,1,1,1,5,111,122,2,low_level
51867,Female,9,1140,112,1,1,1,2,111,138,3,high_level
23842,Male,12,1121,112,1,1,1,1,120,131,2,low_level
2989,Male,10,1122,114,1,1,1,2,111,122,2,high_level
36613,Female,10,1121,112,1,1,1,2,111,131,2,high_level
15052,Female,12,1121,112,1,1,1,5,111,138,2,low_level
408,Male,10,1132,114,1,1,1,2,120,111,4,low_level
10969,Female,7,1122,114,1,1,1,5,111,135,2,low_level
12249,Female,5,1110,113,1,1,1,3,112,135,1,high_level
11137,Male,9,1122,126,1,1,1,4,111,139,2,low_level
25795,Male,5,1110,114,1,1,1,2,111,131,1,high_level
31686,Male,5,1110,114,1,1,1,2,111,111,1,high_level
44450,Female,7,1131,112,1,1,1,3,111,131,1,high_level
54589,Female,7,1132,126,1,1,1,3,111,135,1,high_level
18295,Male,5,1110,113,1,1,1,2,111,131,1,high_level
14227,Female,9,1122,125,1,1,1,5,111,138,2,high_level
46,Male,10,1122,114,1,1,1,5,111,138,2,low_level
17250,Female,11,1122,113,1,1,1,2,111,111,2,high_level
37220,Male,11,1122,125,1,1,1,5,111,137,2,low_level
20026,Male,8,1122,114,1,1,1,3,111,124,2,low_level
2884,Male,8,1122,114,1,1,1,2,120,132,2,low_level
55811,Male,8,1122,125,1,1,1,3,111,122,2,low_level
27655,Male,9,1122,125,1,1,1,3,111,138,2,low_level
25318,Male,13,1121,112,1,1,1,3,120,111,2,low_level
10407,Male,4,1110,114,1,1,1,3,111,135,1,high_level
26380,Female,7,1121,114,1,1,1,3,111,138,2,high_level
51846,Male,11,1122,113,1,1,1,1,111,136,2,high_level
37326,Female,9,1122,114,1,1,1,3,111,131,2,high_level
25287,Female,6,1210,111,1,1,1,3,111,131,1,high_level
7532,Male,4,1110,125,1,1,1,2,112,131,1,high_level
12197,Female,7,1132,113,1,1,1,5,111,139,1,high_level
27096,Female,9,1121,112,1,1,1,2,111,136,2,low_level
50974,Female,12,1122,113,1,1,1,2,111,138,2,high_level
25319,Female,7,1131,112,1,1,3,3,111,135,1,high_level
31876,Female,10,1121,112,1,1,1,2,111,138,2,high_level
4421,Male,10,1131,112,1,1,1,3,111,135,1,low_level
18106,Male,6,1210,111,1,1,1,5,111,135,1,low_level
24006,Male,10,1122,125,1,1,1,2,111,136,2,high_level
53566,Female,8,1122,114,1,1,1,2,111,133,2,high_level
11654,Female,12,1210,111,1,1,1,3,111,131,1,high_level
34693,Male,11,1121,112,1,1,1,2,111,131,2,high_level
24851,Female,5,1131,112,1,1,1,3,112,131,1,high_level
2234,Female,12,1210,111,1,1,1,5,120,138,4,low_level
31311,Female,11,1121,112,1,1,1,2,111,137,2,high_level
15935,Female,9,1122,125,1,1,1,3,111,138,2,high_level
16341,Male,9,1110,113,1,1,1,4,111,122,1,low_level
34527,Female,4,1110,114,1,1,1,2,112,131,1,high_level
29755,Male,12,1121,112,1,1,1,5,111,122,2,low_level
50977,Female,11,1122,113,1,1,1,5,111,137,2,low_level
37941,Male,8,1132,114,1,1,1,3,111,122,4,low_level
55782,Female,10,1122,114,1,1,1,5,111,138,2,high_level
17877,Male,8,1122,126,1,1,1,3,111,122,2,high_level
20665,Male,7,1210,111,1,1,1,5,120,139,1,low_level
1591,Male,10,1122,125,1,1,1,5,111,122,2,low_level
50991,Male,13,1122,113,1,1,1,1,111,122,2,high_level
32317,Female,9,1122,114,1,1,1,3,111,135,2,high_level
36740,Male,12,1121,112,1,1,3,2,120,132,2,low_level
23004,Male,7,1122,113,1,1,1,5,111,135,2,low_level
45159,Female,5,1110,113,1,1,1,5,111,133,1,high_level
3938,Female,8,1122,114,1,1,1,2,111,138,2,high_level
32046,Female,7,1122,113,1,1,1,3,111,131,2,high_level
16958,Male,7,1122,114,1,2,1,5,111,135,2,low_level
52709,Male,10,1121,112,1,1,1,5,111,136,2,low_level
50458,Male,11,1210,111,1,1,1,2,111,131,4,low_level
