,id,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_days_jail,c_charge_degree,is_recid,two_year_recid
1745,2651,Male,59,Greater than 45,African-American,0,0,0,4,1.0,M,0,0
4671,7140,Female,42,25 - 45,African-American,0,0,0,0,0.0,M,1,1
6422,9798,Male,26,25 - 45,African-American,0,1,0,3,0.0,M,0,0
3331,5107,Male,27,25 - 45,African-American,0,0,0,8,28.0,F,1,1
5358,8164,Male,30,25 - 45,African-American,0,0,0,5,1.0,M,0,0
699,1061,Male,46,Greater than 45,African-American,0,0,0,0,1.0,F,0,0
537,821,Male,35,25 - 45,African-American,0,0,0,0,2.0,F,0,0
1042,1601,Male,32,25 - 45,Caucasian,0,0,0,2,5.0,M,1,1
590,899,Male,25,25 - 45,African-American,0,0,0,0,1.0,M,1,0
3631,5546,Male,56,Greater than 45,Caucasian,0,0,0,0,1.0,M,0,0
6533,9960,Female,25,25 - 45,African-American,0,0,0,0,1.0,M,0,0
7001,10664,Male,23,Less than 25,African-American,0,0,1,10,4.0,F,1,1
2266,3451,Male,46,Greater than 45,Caucasian,0,0,0,2,46.0,M,0,0
6690,10208,Male,33,25 - 45,Caucasian,0,0,0,4,0.0,M,0,0
3245,4961,Male,27,25 - 45,Other,0,0,0,0,1.0,F,1,1
2514,3830,Female,26,25 - 45,African-American,0,0,0,0,1.0,M,0,0
2397,3657,Female,26,25 - 45,African-American,0,0,0,0,1.0,M,0,0
2318,3533,Male,26,25 - 45,Caucasian,0,3,0,8,42.0,F,1,1
3397,5191,Male,23,Less than 25,Other,0,0,0,0,5.0,M,1,1
5623,8575,Male,34,25 - 45,African-American,0,0,0,1,2.0,M,0,0
5578,8496,Male,20,Less than 25,Caucasian,0,0,3,0,1.0,F,1,1
3143,4802,Male,56,Greater than 45,Caucasian,0,0,0,7,9.0,F,0,0
4714,7199,Male,28,25 - 45,African-American,0,0,0,1,1.0,F,0,0
4910,7477,Male,23,Less than 25,African-American,0,0,0,1,2.0,F,0,0
2453,3738,Male,28,25 - 45,Caucasian,0,0,0,14,1.0,F,0,0
3396,5190,Male,34,25 - 45,Other,0,0,0,1,0.0,M,1,1
721,1094,Male,25,25 - 45,Caucasian,0,0,0,0,1.0,F,1,1
1401,2149,Male,33,25 - 45,African-American,0,0,0,0,4.0,F,1,1
126,193,Male,22,Less than 25,Caucasian,0,0,0,4,14.0,F,1,1
6037,9214,Male,23,Less than 25,African-American,0,0,0,0,0.0,F,0,0
2880,4404,Female,28,25 - 45,African-American,0,0,0,0,7.0,F,1,1
4966,7561,Male,33,25 - 45,Caucasian,0,0,0,10,118.0,F,0,0
4283,6534,Female,33,25 - 45,African-American,0,0,0,5,187.0,F,0,0
6944,10570,Male,45,Greater than 45,Caucasian,0,0,0,0,1.0,F,0,0
2033,3101,Male,30,25 - 45,African-American,0,0,0,2,1.0,F,0,0
6917,10536,Male,26,25 - 45,African-American,0,0,0,8,1.0,F,1,1
2914,4450,Male,21,Less than 25,African-American,0,0,0,0,1.0,F,0,0
1018,1562,Male,26,25 - 45,Hispanic,0,0,0,0,2.0,F,0,0
1171,1796,Male,21,Less than 25,African-American,0,0,0,0,2.0,F,1,1
1608,2462,Male,32,25 - 45,African-American,0,0,0,1,0.0,M,0,0
38,54,Male,34,25 - 45,African-American,2,1,3,21,33.0,F,1,1
4951,7540,Male,31,25 - 45,African-American,0,0,0,6,1.0,F,1,1
6,8,Male,41,25 - 45,Caucasian,0,0,0,14,6.0,F,1,1
2366,3611,Male,61,Greater than 45,Caucasian,0,0,0,10,23.0,F,0,0
1586,2428,Male,35,25 - 45,African-American,0,4,17,12,0.0,F,0,0
3339,5118,Male,33,25 - 45,Native American,1,0,0,9,54.0,M,1,1
5767,8786,Male,30,25 - 45,African-American,0,1,0,1,2.0,M,0,0
2602,3979,Male,42,25 - 45,Caucasian,0,0,0,0,2.0,M,0,0
6726,10259,Male,57,Greater than 45,Caucasian,0,0,0,0,1.0,M,0,0
3780,5769,Female,32,25 - 45,African-American,0,0,0,1,1.0,M,0,0
7049,10749,Female,29,25 - 45,African-American,0,0,0,0,1.0,F,0,0
6420,9796,Male,54,Greater than 45,Other,0,0,0,2,1.0,M,1,1
4508,6886,Male,51,Greater than 45,African-American,0,0,0,17,1.0,F,1,1
4232,6463,Male,31,25 - 45,African-American,0,0,0,15,0.0,F,0,0
3801,5806,Male,32,25 - 45,Caucasian,0,0,0,0,1.0,F,1,1
2823,4316,Male,52,Greater than 45,African-American,0,0,0,7,4.0,F,1,1
2065,3156,Male,49,Greater than 45,Caucasian,0,0,0,4,6.0,F,0,0
1448,2218,Female,27,25 - 45,African-American,0,0,0,1,1.0,M,0,0
988,1518,Male,24,Less than 25,Hispanic,0,0,0,1,14.0,F,1,1
4600,7033,Male,22,Less than 25,African-American,0,0,0,2,14.0,F,1,0
3465,5298,Male,28,25 - 45,Caucasian,0,1,0,9,1.0,M,0,0
1687,2569,Male,26,25 - 45,Caucasian,0,0,0,0,1.0,M,0,0
1652,2520,Male,29,25 - 45,African-American,0,0,0,5,14.0,F,1,1
4696,7175,Female,23,Less than 25,African-American,0,0,0,3,37.0,F,1,0
104,157,Male,30,25 - 45,Caucasian,0,0,0,0,6.0,F,0,0
4608,7043,Male,26,25 - 45,African-American,0,0,0,0,2.0,F,0,0
7025,10698,Male,24,Less than 25,African-American,0,0,3,0,0.0,F,1,1
2146,3287,Male,20,Less than 25,African-American,1,0,0,1,218.0,F,1,1
7172,10947,Male,61,Greater than 45,African-American,0,0,0,4,3.0,M,1,1
6600,10062,Female,27,25 - 45,Caucasian,0,0,0,2,0.0,F,1,1
1853,2813,Male,26,25 - 45,African-American,2,1,0,8,85.0,M,1,1
6227,9504,Male,36,25 - 45,African-American,0,0,2,7,8.0,M,0,0
3514,5374,Male,20,Less than 25,Other,0,2,1,3,1.0,M,1,1
3301,5057,Female,49,Greater than 45,African-American,0,0,0,1,1.0,F,0,0
6626,10107,Female,39,25 - 45,African-American,0,0,0,1,63.0,F,0,0
6074,9261,Male,26,25 - 45,African-American,0,0,0,3,47.0,F,1,1
5974,9120,Male,20,Less than 25,African-American,1,0,0,1,3.0,F,0,0
11,15,Male,23,Less than 25,African-American,0,0,0,3,4.0,M,1,1
3721,5681,Male,31,25 - 45,African-American,0,0,0,4,24.0,F,1,1
6653,10145,Female,44,25 - 45,Hispanic,0,0,0,0,1.0,M,0,0
1200,1844,Male,49,Greater than 45,Caucasian,0,0,0,8,4.0,F,1,1
3969,6055,Female,23,Less than 25,African-American,0,0,0,0,1.0,F,1,1
7040,10728,Female,35,25 - 45,African-American,0,0,1,5,7.0,F,1,1
1311,2019,Male,20,Less than 25,African-American,2,0,0,2,56.0,F,1,1
66,97,Male,62,Greater than 45,Hispanic,0,0,0,0,0.0,M,0,0
5724,8727,Male,44,25 - 45,Caucasian,0,0,0,4,0.0,F,0,0
131,200,Female,37,25 - 45,Other,0,0,0,2,2.0,M,0,0
2012,3057,Male,25,25 - 45,African-American,0,0,0,4,1.0,F,1,1
4965,7560,Male,25,25 - 45,Caucasian,0,0,0,3,19.0,F,1,1
1499,2294,Male,23,Less than 25,Caucasian,0,0,0,0,1.0,F,0,0
4317,6586,Female,53,Greater than 45,Caucasian,0,0,0,6,11.0,F,1,1
1056,1624,Male,22,Less than 25,African-American,0,0,0,5,19.0,F,1,1
1512,2317,Male,27,25 - 45,African-American,0,0,0,6,10.0,F,1,1
5079,7730,Male,30,25 - 45,Caucasian,0,0,0,2,1.0,M,1,1
2201,3359,Male,31,25 - 45,African-American,0,2,0,15,2.0,F,1,1
1407,2155,Male,57,Greater than 45,Caucasian,0,0,0,15,20.0,F,0,0
2483,3781,Male,33,25 - 45,African-American,0,0,0,14,0.0,F,0,0
4138,6317,Male,36,25 - 45,Caucasian,0,0,0,9,19.0,F,1,1
2182,3335,Female,30,25 - 45,Hispanic,0,0,0,0,1.0,M,1,1
2437,3713,Male,25,25 - 45,African-American,0,0,0,1,29.0,F,1,1
5313,8106,Male,69,Greater than 45,African-American,0,0,0,1,1.0,F,1,1
2474,3769,Male,54,Greater than 45,Caucasian,0,0,0,0,0.0,M,0,0
4735,7231,Male,37,25 - 45,African-American,0,0,0,3,1.0,M,0,0
2736,4178,Male,27,25 - 45,Caucasian,0,0,0,0,5.0,F,0,0
5640,8601,Male,59,Greater than 45,African-American,0,0,0,9,1.0,F,1,1
651,996,Male,22,Less than 25,African-American,0,0,0,1,1.0,F,1,1
58,85,Male,53,Greater than 45,Caucasian,0,0,0,8,13.0,F,0,0
2383,3636,Female,54,Greater than 45,African-American,0,0,0,7,19.0,F,0,0
6450,9837,Male,23,Less than 25,Caucasian,0,0,0,1,40.0,F,0,0
3106,4739,Male,25,25 - 45,African-American,0,13,1,21,118.0,F,1,1
5351,8154,Male,23,Less than 25,African-American,0,0,0,1,4.0,M,0,0
1192,1829,Female,30,25 - 45,Caucasian,0,0,0,0,1.0,F,0,0
2512,3826,Male,57,Greater than 45,African-American,0,0,0,6,77.0,M,1,1
1241,1897,Male,21,Less than 25,Caucasian,1,0,1,1,37.0,F,1,1
3890,5934,Male,30,25 - 45,African-American,0,0,0,0,0.0,F,1,1
2131,3262,Female,26,25 - 45,African-American,0,0,0,9,2.0,M,1,1
3303,5060,Male,24,Less than 25,African-American,0,0,0,1,75.0,F,1,1
5875,8955,Male,56,Greater than 45,Hispanic,0,0,0,2,0.0,M,0,0
6940,10561,Male,24,Less than 25,African-American,0,3,0,12,17.0,M,0,0
296,434,Male,19,Less than 25,African-American,0,0,0,1,48.0,F,1,1
2685,4099,Male,20,Less than 25,African-American,0,0,0,1,1.0,M,0,0
5141,7830,Female,31,25 - 45,African-American,0,0,0,2,176.0,F,1,1
6553,9991,Male,20,Less than 25,Caucasian,0,0,0,0,4.0,M,0,0
5109,7775,Male,41,25 - 45,African-American,0,0,0,2,0.0,F,0,0
831,1254,Male,43,25 - 45,African-American,1,0,0,20,1.0,F,0,0
120,183,Male,31,25 - 45,Caucasian,0,0,0,13,471.0,F,1,1
2709,4135,Male,27,25 - 45,African-American,0,0,0,5,3.0,F,1,1
6357,9706,Female,24,Less than 25,Caucasian,0,2,0,7,1.0,M,0,0
1952,2963,Male,34,25 - 45,Caucasian,0,0,0,0,28.0,F,0,0
2093,3197,Female,27,25 - 45,Other,0,0,0,0,1.0,M,0,0
6571,10022,Male,31,25 - 45,African-American,0,1,0,6,49.0,M,1,1
1394,2138,Male,34,25 - 45,African-American,0,2,1,19,5.0,F,1,1
5324,8119,Male,27,25 - 45,African-American,0,0,0,2,2.0,F,1,0
248,363,Male,44,25 - 45,Caucasian,0,0,0,8,5.0,M,1,1
1809,2745,Male,28,25 - 45,Caucasian,0,0,0,0,1.0,F,0,0
2868,4389,Male,25,25 - 45,Caucasian,0,0,0,1,1.0,F,0,0
3056,4667,Male,28,25 - 45,African-American,0,0,0,5,1.0,F,1,1
4698,7177,Male,22,Less than 25,Hispanic,0,0,0,0,1.0,M,0,0
5417,8256,Male,29,25 - 45,African-American,0,0,0,11,2.0,F,1,1
6619,10091,Male,28,25 - 45,African-American,1,0,0,5,171.0,F,1,1
297,435,Male,34,25 - 45,African-American,0,0,0,5,1.0,M,0,0
6287,9593,Female,46,Greater than 45,Caucasian,0,0,0,0,0.0,F,0,0
2479,3776,Female,42,25 - 45,Caucasian,0,0,0,0,1.0,M,0,0
1275,1949,Male,47,Greater than 45,Hispanic,0,0,0,1,184.0,F,0,0
706,1070,Male,26,25 - 45,African-American,0,1,0,8,41.0,F,0,0
580,886,Female,46,Greater than 45,Caucasian,0,0,0,0,1.0,M,0,0
1451,2222,Male,69,Greater than 45,African-American,0,0,0,3,0.0,M,0,0
4113,6271,Male,27,25 - 45,Caucasian,0,0,0,1,1.0,F,0,0
6419,9795,Male,24,Less than 25,Hispanic,0,0,0,1,0.0,F,0,0
1089,1669,Female,30,25 - 45,Caucasian,0,0,0,5,7.0,F,1,1
670,1020,Male,54,Greater than 45,Other,0,0,0,0,0.0,F,0,0
1682,2562,Male,26,25 - 45,Hispanic,0,0,1,7,2.0,M,0,0
5708,8702,Male,29,25 - 45,Caucasian,0,0,0,12,39.0,M,1,1
4858,7403,Male,29,25 - 45,African-American,0,0,0,6,150.0,F,1,1
3678,5617,Male,58,Greater than 45,Caucasian,0,0,0,1,1.0,M,0,0
2745,4187,Female,44,25 - 45,Caucasian,0,0,0,1,1.0,F,1,1
3538,5410,Female,39,25 - 45,Other,0,0,0,0,1.0,F,0,0
3911,5967,Female,40,25 - 45,African-American,0,0,0,13,108.0,F,1,1
2887,4415,Male,47,Greater than 45,African-American,0,0,0,1,2.0,M,1,1
1112,1701,Male,22,Less than 25,African-American,0,0,0,3,0.0,F,1,1
4170,6371,Male,37,25 - 45,African-American,0,0,0,12,0.0,F,1,1
1278,1953,Male,30,25 - 45,Other,0,0,0,1,2.0,F,1,1
848,1281,Female,39,25 - 45,Caucasian,0,0,0,1,10.0,M,1,1
4256,6496,Male,24,Less than 25,Caucasian,0,0,0,0,1.0,F,0,0
1674,2548,Male,30,25 - 45,African-American,0,0,0,1,1.0,F,1,1
5672,8647,Female,34,25 - 45,African-American,0,0,0,5,1.0,F,1,0
4409,6726,Male,44,25 - 45,Hispanic,0,0,0,7,26.0,F,1,1
1268,1938,Female,44,25 - 45,Caucasian,0,0,0,1,5.0,M,0,0
4758,7259,Male,26,25 - 45,Caucasian,0,0,0,5,6.0,M,0,0
1991,3027,Male,46,Greater than 45,African-American,0,0,0,5,202.0,F,1,1
1375,2108,Male,21,Less than 25,Hispanic,0,0,0,0,0.0,F,0,0
6870,10467,Male,45,Greater than 45,Caucasian,0,0,0,2,0.0,M,0,0
5048,7683,Female,24,Less than 25,African-American,0,0,0,2,2.0,F,1,1
915,1388,Female,57,Greater than 45,Caucasian,0,0,0,1,2.0,F,1,1
5423,8262,Male,48,Greater than 45,Caucasian,0,0,0,0,1.0,M,1,1
730,1109,Male,45,Greater than 45,African-American,0,0,0,0,3.0,F,1,1
3412,5213,Male,33,25 - 45,Hispanic,0,0,0,3,1.0,M,0,0
6501,9910,Male,21,Less than 25,African-American,0,0,0,1,395.0,F,1,1
3673,5609,Male,59,Greater than 45,African-American,0,0,0,22,69.0,F,1,1
1604,2456,Male,43,25 - 45,Caucasian,0,0,0,9,1.0,F,0,0
890,1348,Female,29,25 - 45,African-American,0,0,0,1,180.0,F,0,0
5180,7900,Male,57,Greater than 45,African-American,0,0,0,12,78.0,F,1,1
3990,6085,Male,39,25 - 45,African-American,0,0,0,4,40.0,F,0,0
716,1087,Male,26,25 - 45,Caucasian,0,0,0,1,16.0,F,1,1
4361,6653,Female,30,25 - 45,Caucasian,0,0,0,4,30.0,F,0,0
1864,2834,Male,29,25 - 45,Native American,0,0,0,1,33.0,F,0,0
597,913,Male,31,25 - 45,African-American,0,0,0,3,20.0,M,1,1
5789,8820,Male,24,Less than 25,African-American,0,0,2,2,24.0,M,1,1
4519,6904,Female,23,Less than 25,African-American,0,0,0,1,1.0,F,0,0
772,1170,Male,27,25 - 45,Other,0,0,0,1,1.0,F,1,1
5653,8618,Female,39,25 - 45,Hispanic,0,0,0,2,7.0,F,0,0
7213,11001,Female,23,Less than 25,Hispanic,0,0,0,2,2.0,F,1,1
5912,9020,Male,30,25 - 45,Caucasian,0,1,0,4,1.0,M,1,1
503,765,Male,66,Greater than 45,African-American,0,0,0,33,14.0,F,1,1
6053,9235,Male,56,Greater than 45,Caucasian,0,0,0,1,1.0,F,1,0
6826,10408,Male,30,25 - 45,Hispanic,0,0,0,0,1.0,M,0,0
2317,3531,Female,33,25 - 45,Caucasian,0,0,0,2,0.0,F,0,0
756,1149,Male,35,25 - 45,Hispanic,0,0,0,5,0.0,F,0,0
750,1141,Male,39,25 - 45,African-American,0,4,0,10,41.0,M,0,0
5720,8719,Male,51,Greater than 45,Caucasian,0,0,0,4,1.0,F,1,1
1121,1714,Male,27,25 - 45,Caucasian,0,0,0,1,230.0,F,0,0
3922,5981,Female,44,25 - 45,Caucasian,0,0,0,1,6.0,M,1,1
4172,6373,Male,29,25 - 45,African-American,0,0,0,7,9.0,M,1,1
3858,5889,Female,52,Greater than 45,African-American,0,0,0,2,1.0,F,1,1
2760,4207,Male,36,25 - 45,African-American,0,0,0,10,33.0,F,1,1
5732,8739,Male,24,Less than 25,Caucasian,0,0,0,2,0.0,M,0,0
720,1093,Male,21,Less than 25,Caucasian,0,0,0,0,1.0,M,0,0
2877,4401,Male,44,25 - 45,African-American,0,0,0,0,2.0,F,0,0
3288,5037,Female,24,Less than 25,Caucasian,0,0,1,2,0.0,F,0,0
4230,6459,Male,59,Greater than 45,African-American,0,0,0,15,15.0,M,1,1
6451,9838,Male,49,Greater than 45,African-American,0,0,0,0,1.0,F,0,0
3699,5652,Female,43,25 - 45,African-American,0,0,0,2,2.0,F,1,1
6823,10404,Male,30,25 - 45,Hispanic,0,0,0,0,1.0,M,0,0
6659,10159,Male,49,Greater than 45,Caucasian,0,0,0,0,1.0,F,0,0
110,169,Male,38,25 - 45,Caucasian,0,0,0,5,3.0,M,1,1
1093,1674,Male,24,Less than 25,African-American,0,0,0,1,58.0,F,0,0
1812,2748,Male,44,25 - 45,Caucasian,0,0,0,0,0.0,M,0,0
3282,5022,Male,59,Greater than 45,African-American,0,0,0,8,5.0,F,1,0
478,724,Male,47,Greater than 45,Caucasian,0,0,0,3,1.0,F,0,0
4566,6981,Male,39,25 - 45,Caucasian,0,0,0,0,2.0,F,1,1
5619,8569,Male,48,Greater than 45,Caucasian,0,0,0,2,4.0,F,1,1
517,792,Male,25,25 - 45,Other,0,0,0,0,0.0,M,0,0
2492,3793,Male,36,25 - 45,Caucasian,0,0,0,1,2.0,F,1,1
7108,10849,Male,33,25 - 45,African-American,0,0,0,4,17.0,M,1,1
2757,4203,Male,34,25 - 45,Caucasian,0,0,0,2,3.0,F,0,0
4765,7269,Female,57,Greater than 45,Caucasian,0,0,0,0,1.0,M,0,0
4659,7120,Male,54,Greater than 45,Caucasian,0,0,0,2,29.0,F,1,1
1571,2406,Female,70,Greater than 45,African-American,0,0,0,1,2.0,F,0,0
6135,9352,Male,20,Less than 25,Caucasian,0,4,0,4,1.0,F,0,0
715,1086,Male,22,Less than 25,African-American,0,0,0,1,1.0,F,0,0
1833,2777,Male,25,25 - 45,African-American,0,0,0,1,0.0,M,0,0
2797,4274,Male,25,25 - 45,African-American,0,0,0,4,1.0,F,1,1
3126,4774,Male,61,Greater than 45,Caucasian,0,0,0,0,0.0,M,0,0
4370,6663,Male,39,25 - 45,African-American,0,0,0,1,1.0,F,0,0
3488,5337,Male,56,Greater than 45,African-American,0,0,0,3,1.0,M,1,1
5452,8304,Female,27,25 - 45,Caucasian,0,0,0,6,1.0,F,0,0
1073,1646,Male,47,Greater than 45,Hispanic,0,0,0,0,1.0,M,0,0
2596,3973,Female,50,Greater than 45,Caucasian,0,0,0,2,1.0,F,1,1
2187,3341,Male,23,Less than 25,African-American,0,0,0,2,238.0,F,0,0
2542,3872,Male,21,Less than 25,Caucasian,0,0,0,1,1.0,F,0,0
5736,8744,Male,22,Less than 25,African-American,0,0,0,2,178.0,F,1,1
5017,7645,Male,57,Greater than 45,African-American,0,0,0,0,1.0,F,1,1
5676,8652,Male,30,25 - 45,African-American,0,0,0,1,1.0,F,0,0
3368,5154,Male,36,25 - 45,African-American,0,2,1,25,1.0,M,1,1
250,366,Male,22,Less than 25,Caucasian,0,0,1,1,6.0,M,1,1
2889,4418,Male,48,Greater than 45,Caucasian,0,0,0,3,0.0,F,0,0
5262,8027,Male,47,Greater than 45,Caucasian,0,0,0,0,1.0,M,1,1
6510,9922,Female,26,25 - 45,African-American,0,1,0,4,2.0,F,0,0
1043,1602,Male,32,25 - 45,African-American,0,0,0,2,2.0,M,0,0
423,640,Male,20,Less than 25,African-American,0,0,0,0,1.0,F,1,1
2671,4073,Male,26,25 - 45,Caucasian,0,0,0,0,1.0,M,0,0
251,369,Female,37,25 - 45,Other,0,0,0,0,1.0,M,0,0
3517,5380,Male,28,25 - 45,African-American,1,0,1,11,0.0,F,1,1
6289,9597,Male,22,Less than 25,Caucasian,0,0,0,0,1.0,M,0,0
3677,5614,Male,33,25 - 45,African-American,0,0,0,2,1.0,F,1,1
6398,9759,Male,49,Greater than 45,Caucasian,0,0,0,0,1.0,F,0,0
1252,1913,Male,21,Less than 25,African-American,0,0,0,0,1.0,F,0,0
5878,8960,Male,36,25 - 45,African-American,0,0,0,2,47.0,F,1,1
1382,2121,Female,28,25 - 45,African-American,0,0,1,4,0.0,F,0,0
2374,3624,Male,22,Less than 25,African-American,0,0,0,1,1.0,F,1,1
3915,5971,Male,47,Greater than 45,Caucasian,0,0,0,3,13.0,F,0,0
4911,7478,Male,36,25 - 45,African-American,0,0,0,4,2.0,F,1,1
5585,8508,Male,29,25 - 45,African-American,0,0,0,0,1.0,M,0,0
2756,4202,Male,38,25 - 45,African-American,0,0,0,8,10.0,M,1,1
6783,10344,Male,29,25 - 45,African-American,0,0,0,0,1.0,F,0,0
3500,5354,Male,24,Less than 25,African-American,0,0,0,1,124.0,M,1,1
6939,10560,Male,41,25 - 45,Caucasian,0,0,0,1,1.0,F,1,1
5776,8799,Male,21,Less than 25,African-American,0,0,1,2,8.0,F,1,1
6818,10399,Male,34,25 - 45,Caucasian,0,0,0,1,1.0,F,0,0
4551,6955,Male,21,Less than 25,African-American,0,0,0,2,18.0,F,1,1
2215,3383,Male,46,Greater than 45,African-American,0,0,0,10,10.0,F,1,1
1461,2237,Male,24,Less than 25,African-American,0,0,1,4,5.0,F,0,0
3338,5117,Male,20,Less than 25,African-American,0,1,0,2,1.0,F,1,1
